Time (ps),3max_apo,3max,4lxz,4ly1,5iwg,5ix0
4060,1.009924,1.121668,0.836561,0.819948,1.059313,1.125775
4070,0.871156,1.042164,0.90427,0.896257,1.04515,1.224314
4080,0.926898,1.22648,0.936443,0.931299,1.165639,1.090687
4090,1.065791,1.074452,0.904626,1.033809,1.097716,1.176092
4100,1.103734,1.066466,0.904123,1.084457,1.142087,1.198931
4110,1.148082,1.077705,0.931291,1.078065,1.075551,1.107018
4120,0.893324,1.122463,0.947916,1.034977,1.106011,1.184248
4130,0.897285,1.088569,1.063602,1.110829,1.073809,1.192671
4140,1.052726,1.12236,0.997401,1.128009,1.127379,1.291621
4150,0.951371,1.16586,1.004536,0.987342,1.107412,1.224803
4160,0.925856,1.059308,0.960523,1.002987,1.211024,1.17137
4170,0.934457,1.056637,0.876597,1.009273,1.086508,1.13998
4180,1.010207,0.986319,0.996128,1.098069,1.078775,1.193969
4190,1.066595,1.022473,1.026444,1.024018,1.047606,1.176656
